level	period	era	start	intro
1	第四纪	新生代	2580000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
2	新近纪	新生代	23000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
3	古近纪	新生代	66000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
4	白垩纪	中生代	145000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
5	侏罗纪	中生代	199000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
6	三叠纪	中生代	251000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
7	二叠纪	古生代	299000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
8	石炭纪	古生代	358000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
9	泥盆纪	古生代	419000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
10	志留纪	古生代	443000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
11	奥陶纪	古生代	485000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
12	寒武纪	古生代	541000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
13	埃迪卡拉纪	新元古代	630000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
14	成冰纪	新元古代	850000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
15	拉伸纪	新元古代	1000000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
16	狭带纪	中元古代	1200000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
17	延展纪	中元古代	1400000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
18	盖层纪	中元古代	1600000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
19	固结纪	中元古代	1800000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
20	造山纪	中元古代	2050000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
21	层侵纪	中元古代	2300000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
22	成铁纪	中元古代	2500000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
23	新太古代	新太古代	2800000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
24	中太古代	中太古代	3200000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
25	古太古代	古太古代	3600000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
26	始太古代	始太古代	3800000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
27	早雨海世	早雨海世	3850000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
28	酒海纪	酒海纪	3920000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
29	盆地群代	盆地群代	4150000000	地球开始冷却，大气层温度下降，形成了一场持续上百万年之久的滂沱暴雨。所有的水汇集起来形成了海洋
30	隐生代	隐生代	4600000000	完全混沌
